회차,발언자유형,의원명,정당,소속기관,직위,발화내용 요약
415회,lawmaker,채현일,더불어민주당,국회 행정안전위원회,위원,"채현일 위원은 윤석열 정부의 무능한 재난 대응을 비판하며 22대 국회에서 철저한 대책과 법제도 개선, 예산 지원을 촉구했다. 지방분권과 재정분권 실질화 필요성을 강조하고, 4차 산업혁명 시대에 맞는 투명하고 자유로운 선거제도 개편을 주장했다. 무책임한 정부 행정에 대한 질타와 여야 협력 국회 조성을 다짐했다."
415회,lawmaker,한병도,더불어민주당,국회 행정안전위원회,위원,"한병도 의원은 전북 익산 지역구 출신으로 21대와 22대 행안위 활동 경험을 언급하며, 21대 행안위의 높은 법안 통과율과 성과를 강조했다. 22대 행안위에서도 모범적인 활동을 다짐하며 동료 위원들과 협력 의지를 밝혔다."
415회,lawmaker,김성회,더불어민주당,국회 행정안전위원회,위원,"김성회 위원은 행안위 보좌진 경험을 바탕으로 다시 위원회에 참여하게 되어 책임감을 느끼며, 공무원과 경찰, 소방관 등 현장 인력 지원에 최선을 다하겠다고 밝혔다."
415회,government,김용빈,,중앙선거관리위원회,사무총장,"김용빈은 선관위의 공정한 선거관리와 보안 강화 노력, 개인정보 보호 및 제도개선 추진 상황을 설명하며, 보안 사고 재발 방지와 감사 기능 강화 계획을 강조했다. 또한 지구당 부활과 정치관계법 개정 등 민주주의 발전을 위한 제도 개선 필요성을 언급하고, 국민 신뢰 제고와 정치 활성화를 위한 협조를 요청했다."
415회,lawmaker,모경종,더불어민주당,국회 행정안전위원회,위원,"모경종 의원은 행정안전위원회의 중요성을 강조하며, 총선 당선자들의 빠른 복귀와 협력을 촉구했다. 또한 공무원들의 정치적 중립 의무 준수를 강력히 요청하며, 정치행위 중단과 본연의 책임 수행을 당부했다. 위원회 차원의 엄정 대응도 요구했다."
415회,lawmaker,박정현,더불어민주당,국회 행정안전위원회,위원,"박정현 의원은 국민의힘 의원들이 총선 민의를 무시하고 국회에 불참하는 것을 비판하며, 현재 사회 위기에 신속히 대응하기 위해 국회 정상 가동을 촉구했다. 또한 분권과 균형발전 실현을 위해 행정안전위원회에서 적극 활동하겠다고 밝혔다."
415회,government,송상교,,진실·화해를위한과거사정리위원회,사무처장,"진실·화해위원회는 2021년부터 2025년까지 항일독립운동, 민간인 희생, 인권침해 등 과거사 진실규명과 피해구제 업무를 수행 중이며, 현재 2만여 건 중 약 절반을 처리했다. 주요 현안은 조사 기간 내 사건 마무리, 과거사정리법 개정 및 배·보상법 입법, 민간인 희생자 유해발굴과 과거사연구재단 설립 추진이다."
415회,lawmaker,신정훈,더불어민주당,국회 행정안전위원회,위원장,"신정훈 위원장은 제22대 행정안전위원회 위원장으로서 지방 소멸 위기 극복과 국민 안전 강화의 중요성을 강조하며, 여야 협력과 정부의 업무보고 출석을 강력히 촉구했다. 간사 선임과 정부 부처 업무보고 요구를 의결하며 국회와 정부의 책임 있는 협조를 요청했다."
415회,lawmaker,양부남,더불어민주당,국회 행정안전위원회,위원,"양부남 위원은 국민 생명과 안전을 최우선 가치로 강조하며, 행정안전위원회가 당리당략에 휘둘리지 않고 신속히 회의를 열어 민생회복지원법 처리와 국민 안전 대책에 나설 것을 촉구했다. 또한, 행안위 소속 공무원들이 중립성을 지키지 않고 정권 편향적 태도를 보이는 점을 비판하며, 국민 공복으로서 업무보고와 기관 출석에 성실히 임할 것을 요구했다."
415회,lawmaker,용혜인,기본소득당,국회 행정안전위원회,위원,"용혜인 의원은 국민의힘의 국회 발목잡기에도 법과 원칙에 따른 위원회 운영을 요청하며, 김순호 전 경찰국장 관련 추모연대 사무실 압수수색이 부당하다고 지적했다. 민주화 열사 유가족들의 항의와 함께 해당 사안에 대한 업무보고 및 현안질의를 요구했다."
415회,lawmaker,위성곤,더불어민주당,국회 행정안전위원회,위원,위성곤 위원은 국민의힘의 회의 불출석을 국민에 대한 책임 회피로 비판하며 조속한 복귀와 협력을 촉구했다. 그는 지방분권과 지방소멸 위기 대응의 중요성을 강조했다. 또한 농해수위 경험을 바탕으로 위원회 활동에 최선을 다하겠다고 밝혔다.
415회,lawmaker,윤건영,더불어민주당,국회 행정안전위원회,위원,"윤건영 의원은 행안부 및 소속 기관들의 업무보고와 자료제출 비협조를 강하게 문제제기하며, 국회의 권능에 대한 도전으로 규정했다. 서민 안전과 현안 해결을 위해 행안부의 적극적 협조를 촉구하고, 위원장에게 기관장들에 대한 엄중 경고를 요청했다."
415회,lawmaker,이광희,더불어민주당,국회 행정안전위원회,위원,"이광희 의원은 정부 부처와 여당 위원의 불참으로 반쪽 회의가 된 점을 강력히 비판하며, 국민 생명과 안전을 최우선 과제로 삼아 이태원 참사, 오송 지하차도 참사 등 주요 사건의 은폐·축소 의혹을 철저히 조사할 것을 촉구했다. 또한 지방소멸 위기를 생명 문제로 인식하고 행안위에서 적극적인 의정활동을 다짐했다."
415회,lawmaker,이상식,더불어민주당,국회 행정안전위원회,위원,"이상식 위원은 행정안전위원회에서 공직 경쟁력 강화, 국민 안전, 지역균형발전, 정치·선거제도 개혁 등 중요한 과제를 수행함을 강조했다. 여당 위원들의 불참에 대해 국민께 죄송함을 표하며 조속한 참여를 촉구했다. 공직 경험을 바탕으로 위원회 활동에 임하는 소감을 밝혔다."
415회,government,이옥남,,진실·화해를위한과거사정리위원회상임,위원,"이옥남 위원은 진실·화해위원회의 조사 현황과 피해자 지원 현황을 보고하며, 일부 언론의 재조사 보도에 대해 사실과 다르다고 해명했다. 또한 조사 과정에서 위원들의 의견 반영과 신속한 확인 절차를 강조하고, 비공개 사유와 법적 근거 준수에 대해 설명하며 오해 해소를 요청했다."
415회,lawmaker,이해식,더불어민주당,국회 행정안전위원회,위원,"이해식 위원은 21대 국회에 이어 22대 국회에서도 행정안전위원회 위원으로 활동하게 된 것을 기쁘게 생각하며, 신정훈 위원장과 윤건영 간사 등 위원들과 함께 열심히 임할 것을 다짐했다."
415회,government,임정수,,중앙선거관리위원회,감사관,"임정수는 감사 업무에서 자정 기능 회복과 객관적·공개적 수행을 강조하며, 현재까지 특별한 장애 요인은 없다고 설명했다."
415회,lawmaker,정춘생,조국혁신당,국회 행정안전위원회,위원,정춘생 의원은 22대 총선에서 국민이 윤석열 정권을 심판했으나 정부 여당이 민심을 제대로 인식하지 못하고 국회 보이콧으로 민심을 외면하고 있다고 비판했다. 그는 현장의 고통 해결을 위해 정부 여당이 조속히 국회로 복귀해 의정활동에 전념할 것을 촉구했다.
415회,government,조규영,,중앙선거관리위원회,기획조정실장,"조규영 기획조정실장은 제22대 국회의원선거 관리 현황과 주요 업무 추진 상황을 상세히 보고하며, 투표 편의 증진, 재외선거 관리 강화, 정책선거 확산, 법규 운용 및 준법 선거 분위기 조성에 주력했다고 설명했다. 또한 선거여론조사 모니터링 강화와 불법 행위 엄정 조치, 조직 혁신 및 정보보안 강화 계획도 밝혔다. 향후 선거 과정 문제점에 대한 제도개선 방안을 국회에 제출할 예정이다."
415회,lawmaker,채현일,더불어민주당,국회 행정안전위원회,위원,"채현일 위원은 윤석열 정부의 무능한 재난 대응을 비판하며 22대 국회에서 철저한 대책과 법제도 개선, 예산 지원을 촉구했다. 지방분권과 재정분권 실질화 필요성을 강조하고, 4차 산업혁명 시대에 맞는 투명하고 자유로운 선거제도 개편을 주장했다. 무책임한 정부 행정에 대한 질타와 여야 협력 국회 조성을 다짐했다."
415회,lawmaker,한병도,더불어민주당,국회 행정안전위원회,위원,"한병도 의원은 전북 익산 지역구 출신으로 21대와 22대 행안위 활동 경험을 언급하며, 21대 행안위의 높은 법안 통과율과 성과를 강조했다. 22대 행안위에서도 모범적인 활동을 다짐하며 동료 위원들과 협력 의지를 밝혔다."
415회,government,황인수,,진실·화해를위한과거사정리위원회,조사1국장,"황인수는 진실·화해위원회 업무와 관련된 사항은 성실히 답변하겠으나, 과거 근무지 등 개인 사유에 대해서는 양해를 요청했다. 또한 개인정보 보호와 초상권 보호를 위해 관련 서류를 제출했으며, 복장과 마스크 착용에 대해 문제 제기가 없었음을 강조했다."
415회,lawmaker,김상욱,더불어민주당,국회 행정안전위원회,위원,"김상욱 의원은 화성 아리셀 공장 화재를 계기로 형식적인 소방 점검과 구시대적 대응 매뉴얼의 문제를 지적하며, 실질적이고 현장 맞춤형 소방 대응체계 마련과 적극행정을 요청했다. 특히 배터리 및 금속화재에 대응 가능한 소화기 비축과 국민 대상의 올바른 소화 방법 홍보 필요성을 강조했다."
415회,lawmaker,김성회,더불어민주당,국회 행정안전위원회,위원,"김성회 위원은 행안위 보좌진 경험을 바탕으로 다시 위원회에 참여하게 되어 책임감을 느끼며, 공무원과 경찰, 소방관 등 현장 인력 지원에 최선을 다하겠다고 밝혔다."
415회,lawmaker,김종양,국민의힘,국회 행정안전위원회,위원,"김종양 의원은 다수당의 입법 횡포에 대한 사과를 촉구하며, 리튬 배터리 화재 사고를 계기로 소방청의 금속화재 대응 미흡과 소방시설법 개선 필요성을 지적했다. 화재 예방과 안전관리 기준을 강화해 대형 참사 재발 방지를 요청했다."
415회,lawmaker,모경종,더불어민주당,국회 행정안전위원회,위원,"모경종 의원은 행정안전위원회의 중요성을 강조하며, 총선 당선자들의 빠른 복귀와 협력을 촉구했다. 또한 공무원들의 정치적 중립 의무 준수를 강력히 요청하며, 정치행위 중단과 본연의 책임 수행을 당부했다. 위원회 차원의 엄정 대응도 요구했다."
415회,lawmaker,박정현,더불어민주당,국회 행정안전위원회,위원,"박정현 의원은 국민의힘 의원들이 총선 민의를 무시하고 국회에 불참하는 것을 비판하며, 현재 사회 위기에 신속히 대응하기 위해 국회 정상 가동을 촉구했다. 또한 분권과 균형발전 실현을 위해 행정안전위원회에서 적극 활동하겠다고 밝혔다."
415회,unknown,배덕곤,,,소방청기획조정관,"배덕곤은 R&D 예산이 기술 성숙도와 활용도 검증 결과 일부 삭감됐으며, ESS 관련 1·2단계 사업 연계도 고려됐다고 설명했다. 배터리 공장 화재를 계기로 신유형 물질 위험성 분석과 대응 기술 개발 연구를 내년부터 본격 추진할 계획임을 밝혔다."
415회,lawmaker,배준영,국민의힘,국회 행정안전위원회,위원,"배준영 의원은 여야 합의 정신을 강조하며 화성 공장 사고 피해 수습 및 재발방지 대책 논의를 촉구했다. 소방청장에게는 금속화재 및 리튬 배터리 화재 대응 소화기 기준 개정과 교육 시간 확대를 요청했다. 또한, 외국인 유가족 장기 체류 지원 대책 마련을 정부에 요구했다."
415회,lawmaker,신정훈,더불어민주당,국회 행정안전위원회,위원장,"신정훈 위원장은 제22대 행정안전위원회 위원장으로서 지방 소멸 위기 극복과 국민 안전 강화의 중요성을 강조하며, 여야 협력과 정부의 업무보고 출석을 강력히 촉구했다. 간사 선임과 정부 부처 업무보고 요구를 의결하며 국회와 정부의 책임 있는 협조를 요청했다."
415회,lawmaker,양부남,더불어민주당,국회 행정안전위원회,위원,"양부남 위원은 국민 생명과 안전을 최우선 가치로 강조하며, 행정안전위원회가 당리당략에 휘둘리지 않고 신속히 회의를 열어 민생회복지원법 처리와 국민 안전 대책에 나설 것을 촉구했다. 또한, 행안위 소속 공무원들이 중립성을 지키지 않고 정권 편향적 태도를 보이는 점을 비판하며, 국민 공복으로서 업무보고와 기관 출석에 성실히 임할 것을 요구했다."
415회,lawmaker,용혜인,기본소득당,국회 행정안전위원회,위원,"용혜인 의원은 국민의힘의 국회 발목잡기에도 법과 원칙에 따른 위원회 운영을 요청하며, 김순호 전 경찰국장 관련 추모연대 사무실 압수수색이 부당하다고 지적했다. 민주화 열사 유가족들의 항의와 함께 해당 사안에 대한 업무보고 및 현안질의를 요구했다."
415회,lawmaker,위성곤,더불어민주당,국회 행정안전위원회,위원,위성곤 위원은 국민의힘의 회의 불출석을 국민에 대한 책임 회피로 비판하며 조속한 복귀와 협력을 촉구했다. 그는 지방분권과 지방소멸 위기 대응의 중요성을 강조했다. 또한 농해수위 경험을 바탕으로 위원회 활동에 최선을 다하겠다고 밝혔다.
415회,government,유상조,,수석전문,위원,"유상조 수석전문위원은 2024년 민생회복지원금 법안의 경제 효과, 재정 여건, 처분적 법률 및 정부 예산권 침해 논란을 검토하며, 지급 대상·액수·수단(지역사랑상품권)과 사용기간 등 세부사항 조정 필요성을 제기했다. 특히 지역별 경제 상황과 법적 쟁점, 소비 촉진 효과를 고려한 자율적 조정 방안을 제안했다."
415회,lawmaker,윤건영,더불어민주당,국회 행정안전위원회,위원,"윤건영 의원은 행안부 및 소속 기관들의 업무보고와 자료제출 비협조를 강하게 문제제기하며, 국회의 권능에 대한 도전으로 규정했다. 서민 안전과 현안 해결을 위해 행안부의 적극적 협조를 촉구하고, 위원장에게 기관장들에 대한 엄중 경고를 요청했다."
415회,lawmaker,이광희,더불어민주당,국회 행정안전위원회,위원,"이광희 의원은 정부 부처와 여당 위원의 불참으로 반쪽 회의가 된 점을 강력히 비판하며, 국민 생명과 안전을 최우선 과제로 삼아 이태원 참사, 오송 지하차도 참사 등 주요 사건의 은폐·축소 의혹을 철저히 조사할 것을 촉구했다. 또한 지방소멸 위기를 생명 문제로 인식하고 행안위에서 적극적인 의정활동을 다짐했다."
415회,lawmaker,이달희,국민의힘,국회 행정안전위원회,위원,"이달희 위원은 화성 이차전지 화재 사고에 대해 깊은 애도를 표하며, 신소재 산업의 안전 관리를 행안부가 과기부·산자부·환경부와 협력해 직접 챙길 것을 요청했다. 특히 이차전지 폭발 사고가 다수 발생한 점을 지적하며, TF 구성 등 안전 대책 마련을 강조했다."
415회,government,이상민,,행정안전부,장관,"이상민 장관은 국회 일정을 최우선으로 존중하며, 여야 합의 관행을 중시해 국회 출석을 조율해 왔다고 설명했다. 화성 화재 등 재난 대응과 피해자 지원 상황을 보고하며 재발 방지와 정책 속도 제고를 약속했다. 국가안보 관련 자료는 비공개 원칙을 강조하고, TF 구성과 부처 협력을 통해 안전 대책을 강화할 계획임을 밝혔다."
415회,lawmaker,이상식,더불어민주당,국회 행정안전위원회,위원,"이상식 위원은 행정안전위원회에서 공직 경쟁력 강화, 국민 안전, 지역균형발전, 정치·선거제도 개혁 등 중요한 과제를 수행함을 강조했다. 여당 위원들의 불참에 대해 국민께 죄송함을 표하며 조속한 참여를 촉구했다. 공직 경험을 바탕으로 위원회 활동에 임하는 소감을 밝혔다."
415회,lawmaker,이성권,국민의힘,국회 행정안전위원회,위원,"이성권 위원은 화성 공장 화재 희생자에 애도하며, 금속화재용 소화기 성능 기준 마련 지연 문제와 국제 기준 대비 현황을 질의했다. 질식사가 화재 사망 주요 원인임을 지적하며, 제연설비와 방독면 등 기초 안전장비 확충 필요성을 강조했다. 또한, 정쟁 자제를 당부하며 국민 신뢰 회복을 위한 국회 역할을 촉구했다."
415회,government,이영팔,,소방청119대응,국장,"경기도 화성 아리셀 전지공장 화재는 리튬 배터리 폭발로 23명 사망, 31명 인명피해 발생했으며, 초기 진화 지연과 급속 연소가 주요 원인이다. 소방청은 신속 대응과 인명 구조에 총력했으며, 현재 213개 전지공장 긴급 안전조사 및 화재 대응 매뉴얼 개선, 외국인 근로자 교육 등을 추진 중이다. 범정부 TF 참여로 종합 개선대책 마련 계획이다."
415회,lawmaker,이해식,더불어민주당,국회 행정안전위원회,위원,"이해식 위원은 21대 국회에 이어 22대 국회에서도 행정안전위원회 위원으로 활동하게 된 것을 기쁘게 생각하며, 신정훈 위원장과 윤건영 간사 등 위원들과 함께 열심히 임할 것을 다짐했다."
415회,lawmaker,정동만,국민의힘,국회 행정안전위원회,위원,"정동만 위원은 화성 화재 사고로 인한 유가족에게 애도를 표하며, 행안위 차원에서 유가족 지원과 법률 지원이 필요함을 강조했다."
415회,lawmaker,정춘생,조국혁신당,국회 행정안전위원회,위원,정춘생 의원은 22대 총선에서 국민이 윤석열 정권을 심판했으나 정부 여당이 민심을 제대로 인식하지 못하고 국회 보이콧으로 민심을 외면하고 있다고 비판했다. 그는 현장의 고통 해결을 위해 정부 여당이 조속히 국회로 복귀해 의정활동에 전념할 것을 촉구했다.
415회,government,조선호,,경기도소방재난,본부장,조선호는 경기소방본부장으로서 관련 사안을 검토하겠다고 답변했다.
415회,lawmaker,조승환,국민의힘,국회 행정안전위원회,위원,"조승환 의원은 최근 화재 사고 희생자와 유가족에 위로를 전하며 정부의 적극적 사고 수습과 재발 방지 대책 마련을 촉구했다. 이상민 행안부장관의 책임론은 법적 판단에 비추어 부적절하다고 지적했다. 또한, 리튬 배터리 등 신산업 안전 관리 미흡 문제를 제기하며 행안부에 전반적 안전 대책 점검과 소방청의 전기차 화재 대응 매뉴얼 정비 및 교육 강화를 요청했다."
415회,lawmaker,조은희,국민의힘,국회 행정안전위원회,위원,"조은희 위원은 화성 공장 화재 현안 질의 중 이태원 참사 관련 정쟁을 지적하며 현안 집중과 희생자 배려를 요청했다. 리튬 배터리 화재 위험성에 대해 전수조사 및 회수 조치, 군부대 관리 실태 점검과 소화약제 개발 전 대응책 마련을 촉구했다."
415회,lawmaker,채현일,더불어민주당,국회 행정안전위원회,위원,"채현일 위원은 윤석열 정부의 무능한 재난 대응을 비판하며 22대 국회에서 철저한 대책과 법제도 개선, 예산 지원을 촉구했다. 지방분권과 재정분권 실질화 필요성을 강조하고, 4차 산업혁명 시대에 맞는 투명하고 자유로운 선거제도 개편을 주장했다. 무책임한 정부 행정에 대한 질타와 여야 협력 국회 조성을 다짐했다."
415회,lawmaker,한병도,더불어민주당,국회 행정안전위원회,위원,"한병도 의원은 전북 익산 지역구 출신으로 21대와 22대 행안위 활동 경험을 언급하며, 21대 행안위의 높은 법안 통과율과 성과를 강조했다. 22대 행안위에서도 모범적인 활동을 다짐하며 동료 위원들과 협력 의지를 밝혔다."
415회,government,허석곤,,소방,청장,"허석곤 소방청장은 경기도 화성 공장 화재 희생자에 애도를 표하며, 재발 방지를 위해 제도·매뉴얼을 신속히 정비하겠다고 밝혔다. 리튬 배터리 등 특수위험물 화재 대응을 위해 화재안전조사 강화와 금속화재 소화기 인증기준 개선 TF를 운영 중이며, 관련 연구와 교육도 확대할 계획임을 설명했다. 또한, 소방활동 자료 체계화 및 관계 부처와 협력해 안전관리 강화에 최선을 다하겠다고 약속했다."
415회,government,홍종완,,행정안전부사회재난,실장,"경기 화성시 리튬 배터리 공장 화재로 23명 사망, 31명 부상 발생했으며 정부는 피해 수습과 유가족 지원에 총력 대응 중이다. 재난안전특별교부세 및 구호비 긴급 지원, 통합지원센터 운영, 심리지원과 산재보험금 지급을 진행하고 있다. 행안부 중심으로 관계부처 참여 TF를 구성해 사고 원인 규명과 재발방지 대책을 마련할 계획이다."
416회,government,김광동,,진실·화해를위한과거사정리,위원장,"김광동 위원장은 조사1국장의 신분 노출 우려로 마스크 착용 및 출석 제한을 설명하며, 진실·화해위원회의 과거사 진실규명 진행 상황과 어려움을 보고했다. 또한 일부 사건 관련 부적절 표현과 자료 공개 문제에 대해 사실관계 확인과 법규 검토를 약속했다. 피해자 권리 보호와 균형 있는 조사 진행을 위해 노력 중임을 강조했다."
416회,lawmaker,김상욱,더불어민주당,국회 행정안전위원회,위원,"김상욱 위원은 순직 채 상병 사건의 11대대장 임의 수중 수색 지시 여부가 핵심 쟁점임을 지적하며, 수사 과정의 면밀한 조사와 증거 확보를 요구했다. 또한 수사심의위원회 비공개 및 위원 명단 미공개 사유를 확인하고, 보행자용 방호울타리 성능 강화와 민생위기 기본소득 차등 지급 필요성도 제기했다. 마지막으로 경찰청장에게 공정하고 엄정한 수사에 대한 자부심을 묻고 법치주의 준수를 강조했다."
416회,lawmaker,김성회,더불어민주당,국회 행정안전위원회,위원,"김성회 의원은 진실·화해위원회 조사1국장 황인수가 간첩단 사건 무죄 판결을 부정하고 부적절한 발언을 한 점을 문제 삼으며, 이에 대한 인사 조치와 면접 자료 제출을 요구했다. 또한 대북전단 무단 살포에 대한 경찰의 단속 필요성을 촉구하고, 위원회가 과거 민간인 학살 사건 진상 규명보다 간첩 사건에 치중하는 편향성을 비판했다."
416회,government,김용빈,,중앙선거관리위원회,사무총장,"김용빈은 선거관리위원회의 공정한 선거관리와 제도개선 추진 의지를 강조하며, 최근 감사원 중간 결과에 따른 후속 조치가 감사원 최종 발표 전까지 법적 제약으로 지연되고 있음을 설명했다. 또한, 직위해제 인원 관리의 어려움을 지적하며 신속한 감사 결과 발표를 요청했다."
416회,lawmaker,김종양,국민의힘,국회 행정안전위원회,위원,"김종양 위원은 해병대 채 상병 순직 사건에 대한 경북경찰청의 공정한 수사와 수사심의위원회 운영을 확인하며, 정치권의 경찰 수사 결과 왜곡을 비판했다. 또한 창원특례시의 인구 감소와 수도권과의 차이를 고려한 특례시 권한 강화 및 실질적 지원 법안 제정을 행안부에 요청했다."
416회,government,김철문,,경상북도경찰,청장,"김철문은 임성근 사단장 수사가 11개월간 관련 증거와 법리에 따라 공정하게 진행됐으며, 수사심의위원회에 직권상정해 외부 전문가 검토를 받았다고 설명했다. 임 사단장의 지시는 기존 수색지침 내에서 이뤄졌고, 사고는 포11대대장의 임의 판단에 따른 수중 진입 전파 과정에서 발생했다고 밝혔다. 수사 과정과 심의 결과는 비공개 원칙을 유지하며, 이견 없이 최종 결론이 내려졌다고 강조했다."
416회,unknown,김형률,,,경상북도경찰청수사부장,"김형률 경무관은 군에서 이첩된 진술서에 대해 면밀히 조사한 결과, 사단장이 수중 수색을 직접 지시한 사실은 없다고 확인했다. 진술 번복이 아니라 참고인의 주관적 생각이었으며, 사단장은 기존 수색 지침을 변경하지 않고 강조만 했다고 설명했다. 수중 수색은 일시적이고 제한적으로 이루어졌으며 관련 사진과 기록은 모두 수사에 반영되었다."
416회,lawmaker,모경종,더불어민주당,국회 행정안전위원회,위원,"모경종 의원은 경북경찰청장의 수사심의위원회 결과 존중 여부와 임성근 사단장의 지시가 군대 상명하복 문화에서 사실상 지시로서 위험한 수색을 초래했는지 문제제기했다. 또한 군사법원법 개정 취지와 달리 책임자 처벌이 이루어지지 않은 점을 비판하며, 경찰의 수사와 임 사단장 탄원서 내용의 유사성을 지적했다. 마지막으로 위험한 지시로 인한 사망사고 발생 시 책임 소재를 묻고 답변을 요구했다."
416회,lawmaker,박정현,더불어민주당,국회 행정안전위원회,위원,"박정현 의원은 경찰청의 해병대원 사망사건 관련 자료 제출 지연과 불법적 자료 회수 의혹을 문제 삼으며, 수사심의위원회의 투명성 강화와 수사 공정성 확보를 촉구했다. 또한 대통령과 행안부의 재난 대응 태도에 대한 국민 불신을 지적하며, 지역화폐 예산 편성 미흡에 대해 정부의 적극적 지원을 요구했다."
416회,government,박현수,,행정안전부경찰,국장,박현수 경찰국장은 당시 상황을 전혀 파악하지 못했다고 인정했다.
416회,unknown,배대희,,,경찰청수사기획조정관,"배대희는 수사심의위원회 명단이 공개된 적 없으며, 현재 규정상 외부 위원 신상 공개가 불가능하다고 설명했다. 명단 비공개는 국가수사본부 체제 유지와 진실 은폐 목적이 아니며, 시스템 문제로 일부 판례 검색 누락을 인정했다. 공개 시 체제 붕괴 우려로 위원들의 이해를 요청했다."
416회,lawmaker,배준영,국민의힘,국회 행정안전위원회,위원,"배준영 위원은 경찰수사심의위원회의 독립성 보장 규칙 제출을 요구하고, 채 상병 사건의 경찰 수사 적절성과 군사법원법 개정 취지를 강조하며, 지휘계통 내 기소 대상 선정의 형평성 문제를 지적했다. 또한 인천 자치구 행정체제 개편에 따른 재정 지원 근거 마련과 승강기 안전관리법의 실효성 강화를 요청했다."
