회차,발언자유형,의원명,정당,소속기관,직위,발화내용 요약
353회,lawmaker,박순자,새누리당,국회 행정안전위원회,위원,박순자 위원은 살충제 계란 문제에 대해 행안부 장관이 부처 간 책임 떠넘기기 없이 국민 안전을 위한 긴급 대책 회의를 소집할 것을 요청했다. 또한 선관위의 일반유권자 연수 사업이 법적 근거 없이 운영되고 있어 조속한 법제화와 예산 확대를 촉구했다. 국민 민주시민 의식 함양을 위한 교육 강화가 필요하다고 강조했다.
353회,lawmaker,소병훈,더불어민주당,국회 행정안전위원회,위원,"소병훈 의원은 경찰 인권보호 조직과 예산이 부족하다며 내부 개편과 인권기념관 확대를 요청했고, 초등학교 보행로 미설치 문제에 대해 행안부의 예산 확대와 안전 대책 강화를 촉구했다. 또한 국민대통합위원회의 폐지에 아쉬움을 표하며 사회 갈등 치유를 위한 역할 재정립을 당부했다."
353회,unknown,위원장,,,柳在仲,"위원장은 장제원 위원의 상황 파악을 지시하고, 김영호 위원을 칭찬하며 자유한국당 박순자 위원에게 발언 차례를 넘겼다."
353회,lawmaker,유민봉,국민의당,국회 행정안전위원회,위원,"유민봉 의원은 국가재난관리정보시스템의 지진가속도계측기 활용 미흡과 공공시설물 계측기 설치율 저조 문제를 지적하며, 국민 대피훈련의 실효성 강화와 비상대비정책 개선을 요청했다. 또한, 행정안전부의 지역별 인력 재배치 계획과 재난안전 컨트롤타워 기능 약화에 대한 우려를 표명했다. 마지막으로 중앙선거관리위원회의 예비금 사용 문제에 대해 3년간 반복된 지적에도 개선되지 않은 점을 문제 삼았다."
353회,lawmaker,윤재옥,새누리당,국회 행정안전위원회,위원,"윤재옥 위원은 대통령의 균형인사 주장에 대해 대구·경북 지역 인사 비중이 낮다며 지역 민심을 반영한 인사가 필요하다고 지적했다. 경찰과 소방 조직 내 부적절한 인사 및 비리 문제를 엄정히 관리하고, 전문성 없는 정치색 인사에 대한 국민 신뢰 저하 우려를 전달하며 장관의 역할과 책임을 촉구했다."
353회,lawmaker,이명수,새누리당,국회 행정안전위원회,위원,"이명수 의원은 살충제 계란 사태에서 행정안전부의 컨트롤타워 부재와 시행령 미이행 문제를 지적하며, 전자정부사업과 교부세 제도의 효율성 개선 및 인사혁신처의 혁신 부족을 문제 삼았다. 또한 경찰 인력 배치와 독도경비대장 직급 상향, 취약계층 보호 기능 강화 필요성을 요청했다. 관련 부처에 구체적 개선 방안과 자료 제출을 요구했다."
353회,lawmaker,이용호,더불어민주당,국회 행정안전위원회,위원,"이용호 위원은 경찰 수뇌부의 권력 다툼과 낮은 신뢰도 문제를 지적하며 경찰 기강 확립과 근속승진 기간 단축, 처우 개선을 촉구했다. 또한 국민안전처 폐지 후 재난안전 홈페이지 구축 지연과 불우소외계층 격려 사업 예산 집행 문제에 대해 행안부의 신속한 대응과 예산 집행 기준 마련을 요청했다."
353회,lawmaker,이재정,더불어민주당,국회 행정안전위원회,위원,"이재정 의원은 오촌살인 사건 재수사 필요성과 경찰의 미흡한 대응을 지적하며, 감찰담당관실의 감찰권 남용과 비위 내용 언론 유출 문제를 문제삼았다. 또한, 노동자 집회 철거와 화단 설치를 통한 집회권 제한 사례를 법원 판례와 비교하며 경찰과 행정의 부당성을 질타했다. 관련 기관의 적극적 조치와 명확한 입장 표명을 요구했다."
353회,government,이철성,,경찰,청장,"이철성 발언은 2016년도 경찰청 예산 결산과 예비비 사용 내역을 설명하고, 최근 경찰의 불미스러운 사건에 대해 송구함을 표하며 재발 방지와 심기일전을 약속함. 인권 보호 강화, 여성·아동·가정폭력 예산 확대, 4차 산업 관련 과학수사 추진 등 정책 개선 의지를 밝힘. 또한 언론 보도와 감찰 논란에 대해 신중한 대응과 투명한 수사를 약속하고, 근속승진 기간 단축 등 내부 제도 개선에 위원회의 협조를 요청함."
353회,lawmaker,장제원,새누리당,국회 행정안전위원회,위원,"장제원 위원은 경찰청 수뇌부의 내홍이 일선 경찰 사기에 악영향을 미친다며 이철성 청장의 재신임 또는 경질을 촉구했다. 지방재정 자주재원 확대를 위한 기재부와 행안부 간 협의 부재를 지적하며, 부수법안 반영과 장기 로드맵 수립을 요청했다. 건국절 논란에 대해서는 정부가 확정하기보다 학계에 맡겨 국민통합을 도모할 것을 강조하고, 중앙선관위의 업무추진비 지출 내역 자료 제출을 요구했다."
353회,government,조종묵,,소방,청장,"조종묵 소방청장은 2016회계연도 세입세출결산을 보고하며, 소방청이 육상재난 대응 책임기관으로서 국민 안전을 위해 국가재난 대응체계를 강화할 것임을 약속했다. 소방안전교부세로 소방차량 노후율을 제로화하고 개인장비 보유율 100%를 달성했으며, 제주감사회의 감사 결과에 따라 조치할 계획임을 밝혔다."
353회,lawmaker,진선미,더불어민주당,국회 행정안전위원회,위원,"진선미 의원은 세종청사 용역 경비원의 성추행 논란과 관리시스템 전면 재검토를 요청했으며, 대형 산불 헬기 미동원 문제의 원인과 대책 보고를 요구했다. 또한, 유튜브 생중계 살해 협박 사건에 대한 경찰의 미온적 대응을 비판하고, 경찰병원 내 성희롱 문제와 가해자 재고용 관행에 대해 강한 문제 제기를 했다."
353회,government,천우정,,전문,위원,"천우정 전문위원은 여성 안전 강화, 범죄수익 환수 및 사이버수사 역량 강화를 경찰청 국가사업으로 추진할 필요성을 강조하고, 노후 청사 및 장비 개선을 위해 BTL 방식 도입과 관련 법 개정을 요청하였다. 또한 중앙선관위 투표편의성 증대와 예산집행 효율성 향상을 위한 사전투표소 위치 개선 및 청소근로자 직접고용 방안, BTL 적용 범위 확대를 제안하였다."
353회,government,표창원,,,위원,"표창원 의원은 지방자치단체의 재정 집행률 저조 문제와 분권형 개헌 대비 행안부의 관리·감독 강화 및 평가 공개를 요청했다. 재난 대응 체계 개선과 국과수 증거보관 시스템 확충, 과학수사 지원 강화를 강조했다. 또한 공무원 인사 혁신과 정규직·비정규직 직무분석을 통한 효율적 인력 운영 필요성을 제기했다."
353회,lawmaker,홍철호,국민의당,국회 행정안전위원회,위원,"홍철호 의원은 교사 임용 대기자 문제 해결을 위해 국가재정법 개정과 중장기 재정계획 수립을 촉구하며, 스쿨존 안전 강화와 음주 관련 범죄에 대한 엄정 대응 필요성을 강조했다. 또한 AI 살처분 보상금 감액 문제와 지자체 부담 경감을 위해 중앙정부 차원의 방역부담금 도입을 요청했다."
353회,government,柳在仲,,,위원장,"353회 행정안전위원회 회의에서 2016회계연도 결산 및 예비비지출 승인의 건을 심사하며, 경찰청 내분 사태에 대한 대국민 사과와 수습 경과를 주목하고, 반복되는 예산 집행 문제와 재정동의권 침해 관행 개선을 요청하였다. 질의응답은 5개 부처를 일괄 진행했으며, 심도 있는 심사를 위해 안건을 예결산심사소위원회에 회부하기로 하였다."
353회,lawmaker,강석호,새누리당,국회 행정안전위원회,위원,"강석호 위원은 공무원연금기금 장기 재정소요 추계 방안과 관련해 인사혁신처가 연구용역을 실시하는 점을 언급하며, 추계 시기를 연말에서 내년 예산 편성 전으로 앞당길 것을 요청했다. 또한, 공무원 증원 추계의 필요성을 강조하며 불확실성 해소를 촉구했다."
353회,lawmaker,권은희,국민의당,국회 행정안전위원회,위원,권은희 의원은 동장 공모제의 선거 영향 우려와 관련해 국회와의 소통 및 청와대 차원의 진상규명을 요구했다. 또한 경찰청 사건수사비가 특수활동비로 편성돼 예산 집행에 어려움이 있으니 일반예산 전환을 위한 국회 차원의 절차 진행을 촉구했다.
353회,government,김대년,,중앙선거관리위원회,사무총장,"김대년은 2016회계연도 세입세출결산 의결에 감사하며, 심의 중 제기된 지적을 향후 업무계획에 적극 반영할 것을 약속했다. 또한 위원회의 지속적인 관심과 지원을 요청했다."
353회,lawmaker,김영진,국민의당,국회 행정안전위원회,위원,"김영진 의원은 대통령기록물의 지정 및 처리 기준이 불명확한 상황에서 국가기록원이 임의로 자료를 처리하는 법적 근거와 절차를 질의했다. 특히, 지정되지 않은 기록물의 국회 제출 의무와 공개 기준에 대해 명확한 규정 마련을 요청했다. 이후 공식 자료 제출 요구에 대한 답변을 받고 추가 질의를 진행할 계획임을 밝혔다."
353회,lawmaker,김영호,새누리당,국회 행정안전위원회,위원,"김영호 의원은 국민재난안전포털이 지진과 민방위훈련 시 접속 폭주로 반복적으로 다운되는 문제를 지적하며, 개선 약속에도 불구하고 같은 문제가 재발한 점을 비판했다. 이는 단순 기술 문제가 아니라 공직자의 기강 문제로 보고, 재발 방지를 강력히 요청했다."
353회,unknown,김판석,,,인사혁신처장,"김판석은 공무원연금 개혁이 인사혁신처 단독으로 어려워 기재부, 행안부, 연금공단과 협의 및 연구용역을 추진하겠다고 설명했다. 예산 심사 과정에서 지적된 사항을 정책에 반영하고, 위원들의 협조에 감사함을 표했다. 또한 경찰·소방 계급명칭 차이 문제를 개혁 시 검토해 줄 것을 요청했다."
353회,lawmaker,박남춘,더불어민주당,국회 행정안전위원회,위원,박남춘 의원은 경찰 승진 기간 단축을 환영하면서도 7년 단축이 헌법상 평등권에 부합하고 재정 부담도 크지 않다며 아쉬움을 표했다. 특히 하위 계급인 순경에서 경장 승진 기간이 덜 줄어 현장 경험과 자부심 형성에 어려움이 있다고 지적했다. 향후 순경과 소방사에 대한 추가 배려와 개선을 요청했다.
353회,lawmaker,박성중,새누리당,국회 행정안전위원회,위원,박성중 의원은 해외 공직자 설명회 과다 지출과 국가인재DB 관리 부실을 지적하며 인사혁신처장의 적극적 개선을 요청했다. 행안부 정책포털의 중복과 비효율 문제를 언급하며 통합과 효율화 추진을 강조했다. 또한 경찰청에 과태료 징수율 저조 문제와 과속단속장비 설치 적정성 재검토 및 국민 심리 반영 대책 마련을 요구했다.
353회,lawmaker,박순자,새누리당,국회 행정안전위원회,위원,"박순자는 민방위 훈련의 실질적 참여와 국민 공감이 부족한 문제를 지적하며, 형식적 훈련에서 벗어나 주민 참여를 높여야 한다고 강조했다. 또한, 안전디딤돌 앱 등 홍보 수단의 문제점과 행안부의 소극적 대응을 비판하며 적극적인 개선과 홍보 강화를 요청했다. 국민 불안 해소를 위해 실효성 있는 민방위 훈련이 필요하다고 당부했다."
353회,government,심보균,,행정안전부,차관,"심보균 발언은 재난문자 이양 후 표준체계 구축과 기록물 분류·공개 절차 진행 상황을 설명하며, 시스템 문제 개선과 민방위 훈련 강화, 주민 참여 확대를 약속함. 또한, 지적사항을 반영해 예산 집행과 정책 수립에 적극 반영하겠다고 답변함."
353회,unknown,위원장,,,柳在仲,"경찰·소방공무원의 근속승진 관련 법률안 8건을 소위원회 심사 후 의사일정에 추가 상정하고 일괄 의결하였다. 일부 법률안은 통합·조정해 위원회 대안으로 제안하였으며, 비용추계서와 축조심사는 생략되었다. 정부 측 경찰청장과 소방청장이 법률안 통과에 대해 인사말을 하였다."
353회,lawmaker,유민봉,국민의당,국회 행정안전위원회,위원,"유민봉 의원은 식품안전이 행정안전부의 협업·조정 대상인지 명확히 검토할 것을 요청하며, 국가기록물에 포함된 전자문서의 관리 실태와 청와대의 기록물 공개 절차 문제를 지적했다. 행정안전부의 철저한 관리감독을 주문하며 후속 질의를 예고했다."
353회,lawmaker,윤재옥,새누리당,국회 행정안전위원회,위원,윤재옥 의원은 동장 공모제 시범 실시 계획이 선거를 앞두고 정치적으로 민감하므로 신중한 검토와 시행 보류를 요청했다. 특히 외부 인사 공모는 문제가 될 수 있어 행안부가 청와대 발표에 앞서 국회에 사전 보고할 것을 강조했다.
353회,lawmaker,윤재옥,새누리당,국회 행정안전위원회,위원장,"윤재옥 위원은 2016회계연도 행정안전부 등 5개 기관 결산 심사 결과를 보고하며, 각 부처별로 정책 통합, 예산 집행 투명성 강화, 중복 사업 정비 등 85건의 시정요구사항을 포함해 원안대로 의결할 것을 요청했다. 특히 범죄수익 환수 강화, 여성안심사업 국가사업 추진, 소방 인명구조견 훈련장 건립 등 구체적 개선 방안을 강조했다."
353회,lawmaker,이명수,새누리당,국회 행정안전위원회,위원,"이명수 의원은 결산 지적사항이 반복되는 점과 예산보다 결산 개선 노력이 부족함을 지적하며, 조직 근본 문제 해결을 요청했다. 독도경비대의 직급 조정과 전용 행정선 확보, 경찰서 내 노인·장애인 케어팀 설치를 요구했다. 또한 국민안전처 분리 후 기능 미흡과 재난안전관리체계 혼란을 개선해 중앙정부 차원의 표준 지침 마련을 촉구했다."
353회,government,이철성,,경찰,청장,"이철성 발언은 울릉경비대 위상 재검토와 전담조직 효율화, 여성경찰 인력 확대 및 교육 강화, 특수활동비 예산의 일반예산 전환 추진 등 경찰 조직 운영과 예산 집행 개선에 대한 문제제기와 대응 계획을 중심으로 한다. 또한, 경찰공무원법 개정안 심의에 감사하며 현장 경찰관 사기 진작과 치안 서비스 강화 의지를 표명했다."
353회,government,조종묵,,소방,청장,"조종묵은 2016회계연도 소방청 세입세출결산과 소방공무원법 일부개정법률안 심의 의결에 감사하며, 지적사항을 반영해 업무를 개선하겠다고 밝혔다. 재난예방과 대응 역량 강화 및 하위직 소방공무원 사기진작에 최선을 다할 것을 약속했다. 위원들의 지속적인 관심과 지도를 요청했다."
353회,lawmaker,진선미,더불어민주당,국회 행정안전위원회,위원장,"진선미 위원은 경찰공무원법과 소방공무원법 일부개정법률안 6건을 통합·조정한 대안을 제안하며, 근속승진기간을 총 5년 단축하는 내용을 설명하였다. 해당 대안은 본회의 부의하지 않고 소위원회 심사결과대로 의결 요청하였다. 자세한 내용은 배부된 유인물을 참고해 달라고 당부했다."
353회,government,표창원,,,위원,"표창원은 경찰청의 시정요구사항 중 예산 증액과 전담인력 남발 문제를 지적하며, 2019년 예산 반영 또는 기존 예산의 탄력적 활용을 요청했다. 여성 대상 범죄 대응 강화와 피해자 처우 개선 필요성을 강조하며, 여성 경찰관 증원과 보호 강화 방안 마련을 촉구했다."
353회,government,柳在仲,,,위원장,"353회 행정안전위원회에서 2016회계연도 결산 및 예비비지출 승인 안건을 심사하고 정부 원안대로 의결하였으며, 소관부처에 시정요구 및 제도개선 요청 사항의 성실한 이행을 당부하였다. 질의응답과 인사말씀을 마치고 회의를 종료하였다."
354회,government,표창원,,,위원,"표창원 의원은 소방인력 부족과 고령 소방관 현장 투입 문제, 매뉴얼 미비로 인한 사고 원인 규명 및 소방관 안전 보호 필요성을 지적하며, 소방관 직장협의회 구성과 정부 부처 간 협력 강화를 요청했다. 또한, 학교폭력 대응 인력 부족 문제와 경찰의 적극적 대책 마련을 촉구했다."
354회,unknown,위원장,,,柳在仲,"위원장은 윤재옥, 박남춘, 황영철 위원에게 수고하셨다고 인사하였다. 별도의 쟁점이나 문제제기는 없었다."
354회,lawmaker,권은희,국민의당,국회 행정안전위원회,위원,"권은희 의원은 부산 여중생 폭행 사건과 관련해 경찰의 초기 수사 미흡을 강하게 비판하며, 학교폭력 문제에 대한 경찰과 관계 부처의 역할 분담과 책임 소재를 명확히 할 것을 요구했다. 특히 사회부총리와 교육부가 종합적 책임을 지고 컨트롤타워 역할을 해야 한다고 강조했다. 또한, 경찰의 학교폭력 수사 및 대응 매뉴얼 강화와 명확한 입장 정리를 촉구했다."
354회,lawmaker,김부겸,더불어민주당,국회 행정안전위원회,장관,"김부겸은 소방관 안전을 위한 지침 마련과 희생 감소 대책 필요성을 강조하며, 현장 지휘자의 판단 한계 명확화와 대응 매뉴얼 개선을 약속했다. 또한, 경남도 관련 오해 해소와 공무원들의 신뢰 회복을 위해 노력 중임을 설명했다. 재정 소요 문제 해결을 위해 행정안전부 차관 주도의 실무위원회 발족 계획도 밝혔다."
354회,government,김부년,,수석전문,위원,"김부년 의원은 행정안전부, 인사혁신처, 소방청 소관 114건 법률안 중 주요 법안에 대해 쟁점과 타당성을 검토하며, 지방자치단체 의견 수렴, 재정여건, 사회적 공감대 형성, 운영비 효율성 등을 고려할 필요성을 강조했다. 특히 각 법안별로 전문성 확보, 보상체계 명확화, 안전관리 강화, 재정 분배 문제 등을 지적하며 심도 있는 검토와 조정이 요구됨을 밝혔다."
354회,lawmaker,김성원,새누리당,국회 행정안전위원회,의원,"김성원 의원은 인구 규모와 지리적 특성상 경기도를 경기북도와 경기남도로 분도할 필요가 있다고 주장하며, 경기북부는 이미 행정기반이 갖추어져 있어 분도 시 행정 혼란이 적을 것이라고 설명했다. 그는 26년간 논의된 경기북도 설치에 대한 지역사회의 공감대를 강조하며 국토 균형발전과 주민 편익 증진을 위해 법률안에 대한 적극적인 협조를 요청했다."
354회,lawmaker,김영진,국민의당,국회 행정안전위원회,소위원장대리,"김영진 위원은 자전거 안전거리 준수, 전자정부의 날 지정, 제주도 개발사업 의견 수렴 절차 위임 등 6건 법률안 심사 결과를 보고하였다. 일부 법률안은 세부 조정 및 명확성 제고를 위해 수정 의결하였고, 지방재정법 개정안은 재정안정화기금 설치 근거를 포함하도록 조정하였다. 심사보고대로 의결을 요청하였다."
354회,lawmaker,김영진,국민의당,국회 행정안전위원회,위원,"김영진 위원은 청와대 캐비닛 문건의 국회 제출 지연과 법적 문제 가능성을 지적하며 신속한 판단과 제출을 요청했다. 또한 부산 학교폭력 사건과 관련해 경찰청과 교육부가 협업한 학교전담경찰관 운영 매뉴얼의 실효성과 상담 이행 여부를 점검하고, 체계적 관리와 교육적 선도 방안 마련을 촉구했다."
354회,lawmaker,김영춘,더불어민주당,국회 행정안전위원회,위원,김영춘 위원은 장관직 수행 후 10년 만에 행안위원회에 복귀하며 적극적인 활동을 약속했다. 추석을 맞아 농축수산물 직거래장터를 주관하며 국민들에게 농축수산물 소비를 권장했다. 유재중 위원장과 위원들의 지도와 협조를 요청했다.
354회,lawmaker,김영호,새누리당,국회 행정안전위원회,위원,김영호 위원은 음주시동 잠금장치 도입으로 음주운전 재범률 감소를 촉구하며 경제적 부담 우려에도 조속한 법안 시행을 요청했다. 경찰청장 인사권 확대와 과거 부당 인사 문제에 대한 청산 및 공정한 인사체계 확립을 강조했다. 또한 지진 예측 법안의 현실성 및 예측 가능성에 대해 행정안전부 차관에게 질의했다.
354회,lawmaker,박남춘,더불어민주당,국회 행정안전위원회,위원,"박남춘 의원은 부산 여중생 폭행사건을 계기로 학교전담경찰관(SPO) 제도의 허점과 학교-경찰 간 공조 미흡 문제를 지적하며, 매뉴얼 미준수와 사후 관리 부실을 비판했다. 또한, SPO 증원과 대안학교 배치 등 제도 개선과 원인 분석을 촉구했다."
354회,lawmaker,박성중,새누리당,국회 행정안전위원회,위원,"박성중 위원은 부산의 학교폭력 재범률이 전국 최고 수준임을 지적하며, 부산에 학교전담경찰관 배치가 적은 점에 대해 경찰청장의 설명과 대책 마련을 요청했다. 또한, 2016년 이후 관련 자료 제출과 관심 증대를 요구했다. 시간이 부족해 시간선택제 공무원 관련 질문은 다음 기회로 미뤘다."
354회,lawmaker,박순자,새누리당,국회 행정안전위원회,위원,"박순자 위원은 강릉 화재사고 순직 소방관 희생에 깊은 애도를 표하며, 재발 방지를 위해 화재 현장 매뉴얼과 안전 시스템을 철저히 시행할 것을 강력히 요청했다. 또한 학교폭력 문제에 대해 법과 처벌만으로는 근본 해결이 어렵다며, 정부 부처 간 협업과 예방 교육 강화, 엄중한 처벌 및 제도 개선을 통한 종합 대책 마련을 촉구했다."
354회,unknown,박제국,,,인사혁신처차장,"박제국 발언은 공무원 재해보상법 제정안과 공무원연금법 전부개정법률안의 주요 내용을 설명하며, 공무상 재해에 대한 국가 책임 강화와 보상 수준 현실화를 강조했다. 특히, 공무원 신분이 아닌 무기계약직 등에도 재해보상 제도 적용 방안을 국회에서 논의할 수 있도록 지원할 것을 요청했다. 또한, 관련 부처와 협력해 순직 인정 및 보훈 프로그램 연계 등 대책 마련을 추진 중임을 밝혔다."
354회,lawmaker,백재현,더불어민주당,국회 행정안전위원회,위원,"백재현 위원은 최근 소방관 두 명의 안타까운 화재사고 사망에 깊은 애도를 표하며, 잔불 정리 절차 강화와 유가족 보상에 각별한 관심을 요청했다. 또한 담배 개별소비세 일부를 소방안전에 지속적으로 사용하도록 법제화해 예산 확보의 안정성을 보장할 필요성을 강조했다."
354회,lawmaker,소병훈,더불어민주당,국회 행정안전위원회,위원,"소병훈 위원은 학교폭력 실태조사의 공개적 문제점과 경찰의 미흡한 대응을 지적하며, 범죄피해자보호기금 활용 확대를 요청했다. 또한, 소방관 순직 사고 예방을 위한 매뉴얼 마련과 현장 인력 부족 문제를 강조하며, 소방관·경찰관·집배원 등 어려운 직군의 인력 증원을 촉구했다."
354회,government,심보균,,행정안전부,차관,"심보균 차관은 자전거 이용 활성화 등 법률안 의결에 감사하며, 주한미군 공여구역 지원법 등 4건 법률안의 주요 개정 취지와 절차 정비를 설명했다. 소방안전교부세와 현장 서비스 인력 충원에 대해 정부 차원의 지원과 예산 반영을 약속하고, 개인정보 보호 및 기록물 공개 등 현안에 대해 적극 협조하겠다고 답변했다. 또한, 지진·화산재해 대책과 기상 관측 관련 과학적 한계를 인정하며 위원 의견을 수용하겠다고 밝혔다."
354회,unknown,우재봉,,,소방청차장,"우재봉 발언은 강릉소방관 순직 사고 경위와 인적사항을 보고하며, 재발 방지를 위한 현장 안전 매뉴얼 개선과 교육 강화, 전문 인력 보강 등 대책을 설명했다. 또한, 국가직 전환을 통한 인력·장비 확충 필요성을 강조하고, 현장 지휘체계와 안전관리 체계 강화를 약속했다."
354회,unknown,위원장,,,柳在仲,"위원장은 전문위원의 경찰청 및 중앙선거관리위원회 소관 법률안 검토 보고를 요청하고, 학교폭력 현안보고를 경찰청장에게 지시하였다. 이어 강릉 화재사고 관련 소방청 차장의 간략한 보고를 예고하였다."
354회,lawmaker,유민봉,국민의당,국회 행정안전위원회,위원,"유민봉 의원은 학교폭력 대응에 있어 현장 중심의 관계기관 간 정보 공유와 협업의 실질적 문제점을 지적하며, 제도적·법적 한계와 개인정보 보호법 적용으로 인한 정보 공유 제한 문제를 경찰청장에게 질문했다. 또한, 행정안전부의 역할과 총리실 차원의 조정 가능성에 대한 대안을 요구했다."
354회,lawmaker,윤재옥,새누리당,국회 행정안전위원회,위원,"윤재옥 의원은 광역단체장 자제 수사와 관련해 수사 경위와 언론 브리핑의 투명성을 요구하고, 대안학교 관리 미흡과 부산은행 그룹의 책임 문제를 지적했다. 또한 경찰개혁위원회 권고사항이 경찰 공권력을 과도하게 제한하는 점에 우려를 표하며, 소방관 순직사고에 대한 구조적 책임 규명과 엄정한 대책 마련을 촉구했다. 마지막으로 경남 부지사의 정치적 중립성 훼손 우려를 제기했다."
354회,lawmaker,이재정,더불어민주당,국회 행정안전위원회,위원,"이재정 의원은 신축 호텔 공사 등 사고 원인에 대한 철저한 수사와 소방공무원 국가직 전환 등 근본적 해결책을 촉구했다. 또한, 과중한 업무로 사망한 도로보수원 박종철 씨의 순직 인정과 법적 해석의 적극적 활용을 인사혁신처에 요청했다. 학교 밖 청소년 관리 강화를 통해 학교폭력 근본 원인 해결도 경찰청에 당부했다."
354회,government,이철성,,경찰,청장,"이철성 발언은 부산·강릉 청소년 폭력 사건의 수사 지연과 보호관찰소 협조 미흡 등 문제를 인정하고, 학교폭력 대응 강화와 부처 간 정보 공유 체계 개선을 약속함. 학교 밖 청소년 관리 사각지대 해소와 신속 엄정 수사, 피해자 보호 강화에 중점을 두고 있으며, 관련 부처와 협업을 통해 재범 방지 및 예방 교육 내실화를 추진하겠다고 밝혔다."
354회,lawmaker,장제원,새누리당,국회 행정안전위원회,위원,"장제원 위원은 부산 학장동·엄궁동의 치안 사각지대 문제와 경찰의 부실 순찰을 지적하며, 맞춤형 치안대책과 파출소 신설을 촉구했다. 또한 강릉 무허가 목조건물 인재 사고에 대해 지방자치단체의 관리 소홀 책임을 강조하며, 행정안전부에 전국 무허가 건물 전수조사를 요청했다."
