회의회차,요구자명,요구자정당,대상,실제요구자료,카테고리
353회,김영진,국민의당,경찰청,가정폭력 및 아동학대 근절 분야 예산 편성 및 관련 대책의 미진함을 분석한 전년도 예산 분석보고서 제출 요구,예산·재정
353회,박성중,새누리당,행정안전부,스마트정부사업의 전시행정 및 중복행정 문제를 점검하기 위해 2016년 말 현재 운영 중인 정보 시스템 현황과 관련 구축·운영 예산 및 신규 편성 예산 자료 제출 요구,통계·현황
353회,박성중,새누리당,행정안전부,"공공 앱 서비스 실적과 관련하여 앱별 다운로드 수, 이용자 수 등 성과측정지표 자료 제출 요구",통계·현황
353회,박성중,새누리당,행정안전부,공공홈페이지 신설 및 폐지 기준과 관련된 구체적인 자료 제출 요구,정책·제도
353회,박성중,새누리당,인사혁신처,해외공직자 설명회 참가 인원 중 국가공무원 채용 현황과 근무 현황을 구체적으로 조사한 자료 제출 요구,인사·조직
353회,박성중,새누리당,경찰청,2016년도 과태료 징수결정액 대비 실제 징수액 현황과 과태료 수납률 저조 원인 분석 및 향후 과태료 수납 정당성 제고 방안에 관한 운용보고 자료 제출 요구,범죄·치안
353회,박성중,새누리당,경찰청,과속 단속카메라 설치와 교통사고 발생률 간의 관계를 분석한 자료 제출 요구,범죄·치안
353회,박순자,새누리당,선거관리위원회,2016년도 세입세출결산에서 이월금과 불용액 처리의 원인을 파악하기 위해 관련 자료를 의원실로 제출할 것을 요구,예산·재정
353회,이명수,새누리당,행정안전부,살충제 계란 사고와 관련하여 컨트롤타워 기능이 제대로 작동했는지 확인하기 위해 재난관리주관기관 지정 및 관련 조치 현황 자료 제출 요구,재난·안전
353회,이명수,새누리당,행정안전부,전자정부사업의 미흡한 부분과 2016년 유엔평가 결과를 검토하기 위해 전자정부사업 관련 세부 지적사항 및 평가 자료 제출 요구,정책·제도
353회,이명수,새누리당,행정안전부,"교부세 제도의 운용상 문제와 개선방안 검토를 위해 교부세 관련 인센티브 제도 및 비효율성, 중복성, 성과 저조 현황과 개선방안 자료 제출 요구",예산·재정
353회,이명수,새누리당,행정안전부,2016년도 행정안전부의 R&D 비용 집행 내역과 정부조직 진단사업 결과를 확인하기 위해 관련 보고서 및 결과 자료 제출 요구,인사·조직
353회,이명수,새누리당,경찰청,경찰 인력배치의 전문성 강화 방안을 검토하기 위해 향후 인력배치 계획과 전문성 제고 방안에 관한 자료 제출 요구,인사·조직
353회,이명수,새누리당,인사혁신처,인사혁신처의 성과주의 강화와 성과연봉제 폐지의 관계 및 구체적인 혁신방안에 대해 설명하는 자료 제출 요구,인사·조직
353회,이명수,새누리당,행정안전부,교부세 제도의 근본적인 개혁 필요성을 검토하기 위해 교부세 운용과 관련된 개선방안 자료 제출 요구,예산·재정
353회,장제원,새누리당,중앙선거관리위원회,"업무추진비와 관련하여 50만 원 이상 지출된 내역과 100만 원, 200만 원 단위로 지급된 업무추진비가 누구에게 어떻게 지급되었는지 구체적인 자료를 회의 종료 전까지 제출할 것을 요구",예산·재정
354회,김영진,국민의당,행정안전부,청와대 캐비닛 문건 목록과 내용에 대한 자료 제출을 요청하여 현재 자료 분류작업 진행 상황과 제출 가능 시점을 확인하기 위해 자료 제출 요구,기타
354회,장제원,새누리당,행정안전부,각 지역의 위험한 무허가 건물 현황을 전수조사하여 소방관 안전을 확보하기 위해 관련 자료 제출 요구,재난·안전
354회,김부년,,국회,재난안전통신망 구축 사업의 사업계획 검토결과를 조속히 제출하여 예산안 심사를 심도 있게 하기 위해 관련 사업계획 검토결과 자료 제출 요구,예산·재정
354회,김부년,,인사혁신처,공무원 증원에 따른 공무원연금 재정부담과 영향에 대해 면밀히 검토하기 위해 공무원연금기금 수입 계획안과 연금 부담금 소요액 관련 자료 제출 요구,인사·조직
354회,김부년,,인사혁신처,공무원 증원에 따른 연금 재정부담의 정확한 추계치를 제시하기 위해 관련 추계 자료 제출 요구,인사·조직
354회,김부년,,인사혁신처,공무원 재해보상법 제정에 따른 재해보상 수준 강화 및 관련 절차 보완에 필요한 예산 반영을 검토하기 위해 관련 예산 자료 제출 요구,예산·재정
354회,김부년,,소방청,국가직화 및 증원에 따른 소방공무원 인건비 등 재정부담 문제를 면밀히 점검하기 위해 관련 재정부담 자료 제출 요구,예산·재정
354회,김부년,,소방청,소방공무원 건강이력 관리 시스템 구축 필요성 검증을 위해 업무 수행과 질병 간 인과관계 입증에 필요한 체계적인 자료 제출 요구,재난·안전
354회,김부년,,소방청,소방과학연구소 출범을 위한 예산 확대 및 조직 개편 방안 검토를 위해 관련 예산 및 조직 현황 자료 제출 요구,예산·재정
354회,김부년,,소방청,국민위해인자 대응 기체분자 식별·분석기술 개발 R&D 사업의 사업 지연 및 내년도 예산 조정 필요성 검토를 위해 관련 사업계획 및 예산 집행 자료 제출 요구,예산·재정
354회,김부년,,소방청,중앙119특수구조대 지원 사업의 사업 지연과 예산 이월 문제를 방지하기 위해 세부 계획 및 집행 현황 자료 제출 요구,예산·재정
354회,박남춘,더불어민주당,행정안전부,유비쿼터스 기반 공공서비스 촉진 사업의 선정 및 관리 방안에 대해 납득할 수 있는 구체적인 자료 제출 요구,정책·제도
354회,박남춘,더불어민주당,행정안전부,서해5도 주민 정주지원금 인상 검토를 위해 관련 지원금 현황과 인상 필요성에 관한 자료 제출 요구,예산·재정
354회,박남춘,더불어민주당,행정안전부,서해5도 노후주택 개량사업비 단가 4000만 원 반영 필요성 검증을 위해 노후주택 개량사업비 단가 및 증액 필요성 관련 자료 제출 요구,예산·재정
354회,박남춘,더불어민주당,행정안전부,서해5도 주민대피시설 추가 확충 필요성 확인을 위해 현재 대피시설 현황과 추가 6개소 확충 관련 자료 제출 요구,재난·안전
354회,박남춘,더불어민주당,소방청,소방공무원 건강관리 및 소방활동과 질병 발생 인과관계 입증을 위한 체계적 자료와 소방업무 환경측정 연구 관련 자료 제출 요구,재난·안전
354회,박남춘,더불어민주당,소방청,소방공무원 특수건강진단 결과와 출동 이력 등 개인 건강관리 이력 체계 구축 및 연구용역 관련 자료 제출 요구,재난·안전
354회,이명수,새누리당,행정안전부,예산 집행의 적정성을 확인하기 위해 금년도 예산 집행률과 기재부에 요구한 내년도 예산 반영 비율에 관한 구체적인 자료 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,국정감사 이후 예산조정이 필요하다고 판단하는 항목이나 분야에 대한 구체적인 예산 조정 내역을 서면으로 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,내년도 예산 중 비영리민간단체 지원 및 새마을운동 지원 예산 감소의 타당성을 검증하기 위해 관련 예산 내역과 조정 사유에 관한 자료 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,읍면동 혁신 사업의 정부 주도 및 국비 지원 타당성 검토를 위해 사업 내용과 관련 자료 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,지역발전사업과 소방안전교부세 예산 감소 사유를 확인하기 위해 관련 예산 내역과 조정 이유에 관한 자료 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,전자정부 사업 예산 대폭 감소의 원인을 파악하기 위해 관련 예산 내역과 조정 사유에 관한 자료를 서면으로 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,세종청사 유지관리 예산이 전혀 반영되지 않은 이유를 확인하기 위해 관련 자료를 서면으로 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,민주화 관련 사업과 강제동원 사업 예산 증감의 특별한 의도 여부를 검증하기 위해 구체적인 사업 내용과 예산 내역을 서면으로 제출 요구,예산·재정
354회,이명수,새누리당,행정안전부,"재해위험 및 취약지역 정비, 지방도 구조개선, 위험도로 개선 사업 예산 감소 사유를 확인하기 위해 관련 예산 반영 이유에 관한 자료 제출 요구",예산·재정
354회,이명수,새누리당,소방청,소방청 독립 이후 예산 규모와 내년도 소방장비 개선 신규 사업비 및 중장기 계획에 관한 구체적인 예산 내역 제출 요구,예산·재정
354회,이명수,새누리당,소방청,소방공무원 건강이력관리시스템 사업비 내역과 소방병원 사업비 및 부지 선정 현황에 관한 자료 제출 요구,예산·재정
354회,이명수,새누리당,소방청,소방과학연구소 인원 증원과 관련된 예산 확보 현황에 관한 구체적인 자료 제출 요구,예산·재정
354회,이명수,새누리당,경찰청,내년도 경찰 예산 증감과 범죄수사 활동 및 교통안전 관련 사업비 변동 내역을 확인하기 위한 구체적인 예산 자료 제출 요구,예산·재정
354회,이명수,새누리당,경찰청,비상대피시설 관련 EMP 사업에 경찰청이 참여하는 예산 반영 여부와 수사비 증감 내역에 관한 자료 제출 요구,예산·재정
354회,이명수,새누리당,인사혁신처,내년도 인사혁신 사업비 규모와 구체적인 혁신사업별 예산 내역을 확인하기 위한 자료 제출 요구,예산·재정
354회,이용호,더불어민주당,행정안전부,공무원 증원과 관련하여 각 부처가 행정안전부에 요구한 내역과 행정안전부가 어떤 자리에 몇 명을 늘리는지 하는 내역을 제출해 달라는 요구,인사·조직
354회,박남춘,더불어민주당,행정안전부,"경주지진 당시 정부가 작성한 백서가 있는지 확인하고, 체계적 정리를 위해 경주지진 백서 제출 요구",재난·안전
354회,소병훈,더불어민주당,행정안전부,"지진 관련 정부 총예산 중 내진 보강, 조기경보체계 구축, 인프라 구축 예산이 어느 부처 어느 지역에 쓰이는지 확인하기 위해 관련 자료 제출 요구",재난·안전
354회,황영철,새누리당,기획재정부,수리시설 개보수 사업 예산 중 1408억 원이 지진 내진보강 사업을 위해 편성된 예산인지 명확하게 확인하기 위해 관련 예산 설명서 제출 요구,예산·재정
354회,황영철,새누리당,기획재정부,수리시설 개보수 사업 예산 설명서에 지진 내진보강이라는 내용이 명시되어 있는지 확인하기 위해 관련 사업 예산설명서 제출 요구,예산·재정
355회,권은희,국민의당,소방청,"12월 21일 당일 제천소방서장 관용차 운행에 대한 블랙박스 영상, 관용차량 운행일지, 도 소방본부장의 제천소방서 업무보고 방문 일시 및 경로, 도 종합상황실이 제천소방서장에게 한 무전호출 응답 기지국명, 제천소방서 관할 소방차량 출동일지를 제출하여 당시 상황을 정확히 확인하기 위해 요구",재난·안전
356회,박성중,새누리당,소방합동조사단,제천 화재참사와 밀양 화재 사고의 5개 조사반별 작성된 조사보고서 일체를 최종 합동보고서와 함께 제출하라고 요구,재난·안전
356회,유민봉,국민의당,소방청장,제천 화재 당시 2층 오른쪽 부분에 화염이 전혀 없었음에도 진입하지 못한 이유에 대해 소방청장의 서면보고 자료 제출 요구,재난·안전
356회,유민봉,국민의당,소방청장,신고자가 상황실에 1층 응급실이라고 신고했음에도 무선녹취록상 상황실에서 가곡분대에 응급실 위치를 알려주지 않은 사실 확인을 위한 관련 자료 제출 요구,재난·안전
356회,이명수,새누리당,행정안전부,지난 1년 동안 안전의 총괄 조정 부처로서 개선·보완된 사항을 확인하기 위해 관련 자료 제출 요구,재난·안전
356회,이명수,새누리당,행정안전부,소방인력 금년 증원 현황과 제천소방서 및 밀양 소방서에 배정된 인력 수를 확인하기 위해 관련 자료 제출 요구,인사·조직
356회,이명수,새누리당,소방청,금년 소방청 시설장비 총 투입액 현황을 확인하기 위해 관련 자료 제출 요구,예산·재정
356회,이명수,새누리당,보건복지부,노인복지시설 화재안전창 설치 현황과 소방청과의 협의 여부 및 시설의 화재 안전성 점검 결과를 확인하기 위해 관련 자료 제출 요구,재난·안전
356회,이명수,새누리당,저출산고령화위원회,대통령 위원회 산하 저출산고령화위원회의 사무국 및 기구 구성 현황을 확인하기 위해 관련 자료 제출 요구,인사·조직
362회,권미혁,더불어민주당,경찰청,미국 국토안보수사청 등 해외 수사기관과의 협력 추진 현황을 정리하여 제출해 달라는 요청,범죄·치안
362회,권미혁,더불어민주당,경찰청,각 지방경찰청 사이버 성폭력 전담수사팀 신설 현황과 여성 경찰관 배치 현황을 제출해 달라는 요청,범죄·치안
362회,권미혁,더불어민주당,경찰청,"남영동 대공분실 민주인권기념관 건립에 앞서 경찰이 보존·관리 중인 시설 현황, 연혁, 피해실태 등 기록물과 자료를 신속히 전달하기 위한 계획을 제출해 달라는 요청",기타
362회,권미혁,더불어민주당,경찰청,남영동 대공분실 인력 이전 계획을 제출해 달라는 요청,인사·조직
362회,권은희,국민의당,경찰청,경찰의 수사권 조정 문제와 관련하여 형사사법절차망에서 이루어진 경찰의 수사 지휘 건수와 비율을 확인하기 위해 해당 자료 제출 요구,범죄·치안
362회,김영호,새누리당,국토교통부,"어린이 통학버스 하차 확인 장치 관련하여 국토교통부와 경찰청 간 협의 내역, 회의록, 협조 요청 공문 등의 근거 자료를 확인하고 제출할 것을 요구",재난·안전
362회,이채익,새누리당,경찰청,경찰위원회의 구성 현황과 현재 경찰위원들의 인적사항을 보내 달라는 자료 제출 요구,인사·조직
362회,이채익,새누리당,경찰청,"전체 경찰가족 수와 그중 순경 출신 수, 그리고 총경급 이상 중 순경 출신 수를 확인하기 위한 자료 제출 요구",인사·조직
362회,이채익,새누리당,경찰청,민갑룡 후보자의 인사방침과 경찰청장이 되었을 때 인사운영 계획을 서면으로 제출해 달라는 자료 제출 요구,인사·조직
362회,鄭仁和,,인사혁신처,"장애인 구분모집제, 중증장애인 경력경쟁채용시험제, 장애인 공무원 근무지원사업제의 제도 시행과정, 채용, 관리, 평가에 관한 통계 제출 요구",통계·현황
362회,鄭仁和,,인사혁신처,육아휴직 제도 이용률과 관련하여 남녀 합산 및 기관별 현황 통계 제출 요구,통계·현황
362회,鄭仁和,,인사혁신처,각 부처별 연가 사용률과 연가 사용 목표 및 권장 연가 사용 일수에 관한 구체적인 자료 제출 요구,통계·현황
362회,鄭仁和,,중앙선거관리위원회,국민들이 주민등록번호 기재에 대해 느끼는 저항감과 국민 의견 조사를 위한 여론조사 자료 제출 요구,정책·제도
362회,유민봉,국민의당,인사혁신처,"OECD 국가 간 공공부문 고용통계에서 군복무 포함 여부, 파트타임 고용 현황, 계약직 및 비정규직 공무원 통계 포함 방식을 명확히 하여 우리 위원들이 해석할 수 있도록 정확한 자료 제출 요구",통계·현황
362회,이진복,새누리당,인사혁신처,육아시간과 모성보호시간 확대 관련 대상에 대한 추가 자료를 제출하여 인사혁신처 업무의 실태를 확인하기 위해 자료 제출 요구,인사·조직
362회,이진복,새누리당,인사혁신처,중앙부처 실국장급 900명 대상 작년 12월 연수 워크숍 강의자 명단과 강의 내용을 내부 자료로 정리한 자료 제출 요구,인사·조직
362회,이진복,새누리당,인사혁신처,고위공직자 5대 비위 관련 검증 지원 현황과 관련된 구체적 자료를 제출받아 검증 지원 실태를 확인하기 위해 자료 제출 요구,인사·조직
362회,이채익,새누리당,후보자,청문회 참석자 명단의 정확한 인원 파악을 위해 참석자 수와 명단을 재조사하여 제출할 것을 요구,인사·조직
362회,이채익,새누리당,인사혁신처,OECD 국가 대비 우리나라 공무원 숫자의 정확한 현황과 직종별 공무원 수를 구분하여 제출할 것을 요구,통계·현황
362회,조원진,새누리당,중앙선거관리위원회,지방선거에서 한 당이 같은 기호를 사용하는 문제로 국민들의 선택권에 영향을 준 점을 개선하기 위해 관련 자료 제출 요구,정책·제도
362회,조원진,새누리당,중앙선거관리위원회,정당정책토론회 횟수를 연 2회에서 연 4회로 늘려 급격히 변하는 이슈에 대응하기 위한 정책토론회 관련 자료 제출 요구,정책·제도
362회,조원진,새누리당,중앙선거관리위원회,국가보조금을 받는 정당을 포함한 정당 여론조사의 공정성 확보를 위해 여론조사 대상 정당 범위와 관련된 자료 제출 요구,정책·제도
362회,조원진,새누리당,중앙선거관리위원회,4인 선거구제 폐지로 인한 선거구 쪼개기 문제와 국민의 다양한 목소리 표출 어려움에 대한 법적 규제 및 개선 방안 마련을 위한 관련 자료 제출 요구,정책·제도
362회,조원진,새누리당,중앙선거관리위원회,시민단체가 제기한 부정선거 의혹과 관련하여 객관적 증명을 위한 공청회 개최 및 관련 자료 제출 요구,범죄·치안
362회,조원진,새누리당,중앙선거관리위원회,이라크 전자개표기 부정선거 의혹과 한국의 전자개표 시스템 현황 비교 및 검증을 위한 관련 자료 제출 요구,범죄·치안
362회,조원진,새누리당,중앙선거관리위원회,QR코드 시스템을 이용한 투표지 개봉 없이 투표 결과 확인 가능성에 대한 실험 결과 및 검증 자료 제출 요구,범죄·치안
362회,조원진,새누리당,인사혁신처,"OECD 국가들의 공무원 현황과 1인당 GDP, 공무원 정원 및 인구 대비 공무원 수를 종합하여 우리나라 공무원 증원 정책의 적정성을 검증하기 위한 자료 제출 요구",통계·현황
362회,권미혁,더불어민주당,"환경부, 지자체",지자체로의 환경사무 이양 시 국민 건강과 환경권 문제 발생 가능성에 대비한 해결 방안 마련을 위해 환경부와 지자체의 대기·수질 배출업소 단속실적 비교표 및 관련 자료 제출 요구,정책·제도
362회,권미혁,더불어민주당,행정안전부,2014년 지방자치발전위원회에서 합의된 국가사무와 자치사무 재배분 기준이 현재도 유지되고 있는지 확인하기 위해 관련 기준과 적용 현황 자료 제출 요구,정책·제도
362회,권미혁,더불어민주당,경찰청,경찰 정보경찰 조직과 정책정보 및 치안정보의 집행 현황을 명확히 파악하고 정보경찰 개혁 방안의 실효성을 검증하기 위해 정보경찰 조직 현황과 정책정보·치안정보 구분 집행 관련 자료 제출 요구,인사·조직
362회,권미혁,더불어민주당,경찰청,경찰공무원 채용 과정에서 성 감수성과 인권 감수성 확인을 위한 면접 질문 현황을 파악하고 개선 방안을 모색하기 위해 면접 예상 질문 170개 중 성 감수성 및 인권 감수성 관련 질문 수와 내용 자료 제출 요구,인사·조직
362회,권미혁,더불어민주당,행정안전부,키즈카페 안전관리 일원화 관련 6개 부처 TF 구성 및 추진 경과와 그동안의 미진한 점을 파악하기 위해 관련 부처별 추진 현황과 자료 제출 요구,정책·제도
362회,권미혁,더불어민주당,경찰청,이적 표현물 감정시스템의 민간 연구기관 위탁 현황과 경찰개혁위원회 권고에 따른 이적 표현물 감정심의위원회 구성 계획을 확인하기 위해 관련 자료 제출 요구,감사·점검
362회,조원진,새누리당,기획재정부,문재인 정권이 일자리 창출에 쓴 37조 원 중 실제 청년 일자리로 사용된 금액과 누수된 10조 원의 원인을 파악하기 위해 관련 자료 제출 요구,예산·재정
362회,조원진,새누리당,"소방청, 경찰청",20년 이상 노후된 소방 및 경찰 헬기 15대의 현황과 교체 필요성을 검증하기 위해 관련 통계 및 현황 자료 제출 요구,재난·안전
363회,鄭仁和,,행정안전위원회,법안소위 구성을 원활하고 효율적인 법안처리를 위해 복수 소위로 유지하고 비교섭단체 및 소수당 위원 포함 여부에 관한 자료 제출 요구,인사·조직
363회,鄭仁和,,행정안전부 차관,엘리베이터 유지관리 실태와 불시 안전점검 예산 현황 및 불법행위 적발 현황을 조사하여 보고할 자료 제출 요구,재난·안전
363회,권미혁,더불어민주당,행정안전부,김포대교 신곡수중보 일대 최근 5년간 사건발생 현황과 조치내역을 받아 김포 지역 수난사고의 위험성과 관리 실태를 확인하기 위해 자료 제출 요구,재난·안전
363회,권미혁,더불어민주당,서울시 한강사업본부,신곡수중보 가동일지와 관련 매뉴얼을 제출받아 신곡수중보의 수위 차와 이에 따른 안전 대응 절차 이행 여부를 확인하기 위해 자료 제출 요구,재난·안전
363회,권미혁,더불어민주당,소방청,김포소방서의 2018년 여름철 수난사고 긴급 대응 매뉴얼과 대응계획 알림 자료를 제출받아 수난사고 다발 지역에 대한 선제적 대응 현황을 점검하기 위해 자료 제출 요구,재난·안전
363회,권은희,국민의당,행정안전부,행정안전부 전자정부 지원사업 낙찰 잔액을 이용한 신규사업 집행과 관련한 집행 절차를 소상히 파악하기 위해 관련 자료 제출 요구,예산·재정
363회,권은희,국민의당,경찰청,국회에서 감액된 수사경찰전문교육사업 예산 전용과 관련하여 어떤 프로세스로 전용이 이루어졌는지 파악하기 위해 관련 자료 제출 요구,예산·재정
363회,권은희,국민의당,중앙선거관리위원회,국회 승인 없이 타 사업 예산을 전용하여 신규사업을 추진한 사례와 관련하여 어떤 프로세스로 진행되었는지 검토하기 위해 관련 자료 제출 요구,예산·재정
363회,권은희,국민의당,행정안전부,접경권 발전 지원 사업 등 지방정부 매칭 부족으로 인한 예산 집행률 저하의 구조적 문제 진단과 현황 파악 및 해결책 제시를 위한 관련 자료 제출 요구,예산·재정
363회,권은희,국민의당,행정안전부,"옥외광고 수익금의 운영주체와 운영 내용, 수익금 관리 현황 및 제도적 문제점 검토를 위한 관련 자료 제출 요구",예산·재정
363회,권은희,국민의당,소방청,"본부 편성 수난구조대와 일선 서 편성 수난구조대의 예산 규모, 인원, 장비 차이와 조직 편성 방식의 적정성 검토를 위한 관련 자료 제출 요구",인사·조직
363회,김병관,더불어민주당,행정안전부,지역상생발전기금의 실제 사용내역과 행안부 차원에서 진행한 성과분석 자료 또는 발전기금조합에서 과거에 수행한 성과분석 자료 제출 요구,예산·재정
363회,윤재옥,새누리당,행정안전부차관,폭염 관련 금년도 예산 집행 현황과 내년도 계획을 포함한 자료 제출 요구,예산·재정
363회,이재정,더불어민주당,경찰청,이명박 정부 당시 영포빌딩 문건이 정보보고서인지 또는 보관하고 있을 수도 있는 다른 문건인지 확인하기 위해 관련 문건 제출 요구,감사·점검
363회,이진복,새누리당,경찰청,북한산 석탄 수입 사건과 관련하여 7개월 동안의 조사 내용과 수사 경과를 확인하기 위해 관련 조사 자료 제출 요구,범죄·치안
363회,이진복,새누리당,경찰청,경찰청의 예비비 사용 내역과 항목 변경 내역을 점검하기 위해 관련 예산 집행 자료 제출 요구,예산·재정
363회,이진복,새누리당,인사혁신처,2013년도 국가직 9급 시험과목 개편 이후 고졸 이하 합격자 비율 변화와 관련된 통계 및 현황 자료 제출 요구,통계·현황
363회,이진복,새누리당,사회혁신민관협의회,민관협의회 위원 19명과 직원 20명의 인사기록카드 전부 제출 요구,인사·조직
363회,이채익,새누리당,경찰청,경북 봉화군 소천면 일대 총기 난사 사건과 관련하여 총기 불출 시간과 절차의 적정성 및 2차 사고 예방을 위한 경찰의 사전 조치 여부를 검증하기 위해 관련 자료 제출 요구,범죄·치안
363회,이채익,새누리당,행정안전부,사회혁신추진단 소속 직원 20명의 인사기록부를 제출받아 해당 인사들의 정치적 배경과 임명 경위를 확인하기 위해 자료 제출 요구,인사·조직
363회,홍익표,더불어민주당,경찰청,기무사에 제공된 경찰 전산조회시스템 자료의 세부 내역과 경찰망을 통한 정보 조회 기록 보존 기간의 적정성을 검증하기 위해 2015년 8월부터 2023년 7월까지의 조회 자료 제출 요구,범죄·치안
363회,홍익표,더불어민주당,기무사 및 관계부처,경찰망을 통한 개인정보 조회 관련 법적 근거와 내부 규정의 명확성 및 제한적 운영 방안 마련을 위해 관련 제도 정비 현황 자료 제출 요구,범죄·치안
363회,홍익표,더불어민주당,소방청,소방공무원의 외상 후 스트레스 장애 유병률과 자살 비율 현황 및 정신과 전문의 배치 현황과 관련 대책 마련 현황 자료 제출 요구,재난·안전
363회,홍익표,더불어민주당,중앙선거관리위원회,"재외선거관 제도의 필요성과 실적을 검토하기 위해 최근 3년간 재외선거관의 업무 실적과 배치 현황, 특히 주요 재외국민 투표 대상 지역별 배치 현황 자료 제출 요구",정책·제도
363회,조원진,새누리당,서울교통방송,"문재인 정권 이후 교통방송 임직원과 임원 인사 내역을 제출해 달라는 요청으로, 지방 교통방송의 좌파 인사 편중 여부를 확인하기 위함",인사·조직
363회,조원진,새누리당,"행정안전부, 경찰청","성범죄자 신상정보 송달 자료를 제출해 달라는 요청으로, 매년 1만 명씩 증가하는 성범죄 현황을 확인하고 대책 마련의 필요성을 검증하기 위함",범죄·치안
363회,조원진,새누리당,경찰청,"2005년도 경찰직제 연구평가 자료를 제출해 달라는 요청으로, 경찰 직제 단계 축소에 따른 효율성 증대 가능성을 검토하기 위함",인사·조직
364회,김영호,새누리당,경찰청,검찰이 경찰에 대해 일괄 송치 지휘했던 기록과 자료를 빠른 시간 내에 제출해 달라는 요구,범죄·치안
364회,조원진,새누리당,행정안전부,공무원 17만 4000명 증원에 따른 재정추계 금액이 인건비와 연금으로 각각 얼마인지 확인하고 재정 부담을 검증하기 위해 최근 10월 30일 발표된 재정추계 자료 제출 요구,예산·재정
364회,조원진,새누리당,"인사혁신처, 공무원연금공단",연금 재정추계에 대한 구체적인 설명과 보고를 위해 연금 재정추계 관련 자료 제출 요구,예산·재정
364회,조원진,새누리당,경찰청,사이버테러 대응 현황과 준비 상황을 점검하고 사이버테러 관련 예산 및 인력 증원 필요성을 검증하기 위해 사이버테러 관련 예산 및 인력 현황 자료 제출 요구,범죄·치안
364회,조원진,새누리당,소방청,대구 국제소방안전박람회 관련 예산 내역을 확인하기 위해 해당 예산 자료 제출 요구,예산·재정
364회,조원진,새누리당,선거관리위원회,정책정당 중심 정책문화토론회 예산 증액 여부를 확인하기 위해 관련 예산 증액 자료 제출 요구,예산·재정
364회,조원진,새누리당,행정안전부,경주 국립지진방재연구원 용역비 예산 반영 여부를 확인하고 내진보강 등 방재원 관련 용역비 예산 자료 제출 요구,예산·재정
